Id,LotFrontage,LotArea,LotConfig,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,TotalBsmtSF,HeatingQC,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MoSold,YrSold,SaleCondition,SalePrice,Gar2,Shed,TenC,TotalBath,Bedroom/Bathroom
11,70.0,11200,Inside,12,5,5,1965,1965,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,NoExposure,3,1040,5,1040,3,1,3,5,6,0,0,1965.0,1,1,384,3,3,3,0,0,0,0,0,0,0,0,2,2008,Normal,129500,0,0,0,2,1.5
12,85.0,11924,Inside,24,9,5,2005,2006,Other,Other,Stone,286.0,5,3,PConc,5,3,NoExposure,6,1175,5,2324,4,1,5,11,6,2,4,2005.0,3,3,736,3,3,3,147,21,0,0,0,0,0,0,7,2006,Partial,345000,0,0,0,4,1.0
13,80.18835765335184,12968,Inside,12,5,6,1962,1962,HdBoard,Plywood,None,0.0,3,3,CBlock,3,3,NoExposure,5,912,3,912,2,1,3,4,6,0,0,1962.0,1,1,352,3,3,3,140,0,0,0,176,0,0,0,9,2008,Normal,144000,0,0,0,2,1.0
14,91.0,10652,Inside,20,7,5,2006,2007,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4,3,Av,1,1494,5,1494,3,1,4,7,6,1,4,2006.0,2,3,840,3,3,3,160,33,0,0,0,0,0,0,8,2007,Partial,279500,0,0,0,2,1.5
15,91.57774091566962,10920,Corner,10,6,5,1960,1960,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,NoExposure,4,1253,3,1253,2,1,3,5,6,1,2,1960.0,2,1,352,3,3,3,0,213,176,0,0,0,0,2,5,2008,Normal,157000,0,0,0,3,0.6666666666666666
16,51.0,6120,Corner,8,7,8,1929,2001,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,NoExposure,1,832,5,854,2,1,3,5,6,0,0,1991.0,1,2,576,3,3,3,48,112,0,0,0,0,0,4,7,2007,Normal,132000,0,0,0,1,2.0
17,58.88907071293917,11241,CulDSac,10,6,7,1970,1970,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,NoExposure,5,1004,5,1004,2,1,3,5,6,1,3,1970.0,3,2,480,3,3,3,0,0,0,0,0,0,0,0,3,2010,Normal,149000,0,700,0,2,1.0
18,72.0,10791,Inside,12,4,5,1967,1967,MetalSd,MetalSd,None,0.0,3,3,Other,0,0,NoBsmt,0,0,3,1296,2,2,3,6,6,0,0,1967.0,1,2,516,3,3,3,0,0,0,0,0,0,0,0,10,2006,Normal,90000,0,500,0,2,1.0
19,66.0,13695,Inside,13,5,5,2004,2004,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,NoExposure,6,1114,5,1114,3,1,4,6,6,0,0,2004.0,1,2,576,3,3,3,0,102,0,0,0,0,0,0,6,2008,Normal,159000,0,0,0,3,1.0
20,70.0,7560,Inside,10,5,6,1958,1965,Other,Plywood,None,0.0,3,3,CBlock,3,3,NoExposure,2,1029,3,1339,3,1,3,6,6,0,0,1958.0,1,1,294,3,3,3,0,0,0,0,0,0,0,3,5,2009,Abnorml,139000,0,0,0,1,3.0
21,101.0,14215,Corner,24,8,5,2005,2006,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5,3,Av,1,1158,5,2376,4,1,4,9,6,1,4,2005.0,2,3,853,3,3,3,240,154,0,0,0,0,0,0,11,2006,Partial,325300,0,0,0,4,1.0
22,57.0,7449,Inside,2,7,7,1930,1950,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,NoExposure,1,637,5,1108,3,1,4,6,6,1,4,1930.0,1,1,280,3,3,1,0,0,205,0,0,0,0,4,6,2007,Normal,139400,0,0,0,1,3.0
23,75.0,9742,Inside,20,8,5,2002,2002,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4,3,NoExposure,1,1777,5,1795,3,1,4,7,6,1,4,2002.0,2,2,534,3,3,3,171,159,0,0,0,0,0,0,9,2008,Normal,230000,0,0,0,2,1.5
24,44.0,4224,Inside,7,5,7,1976,1976,Other,CmentBd,None,0.0,3,3,PConc,4,3,NoExposure,6,1040,3,1060,3,1,3,6,6,1,3,1976.0,1,2,572,3,3,3,100,110,0,0,0,0,0,0,6,2007,Normal,129900,0,0,0,2,1.5
25,55.40049334317037,8246,Inside,12,5,8,1968,2001,Plywood,Plywood,None,0.0,3,4,CBlock,3,3,Mn,3,1060,5,1060,3,1,4,6,6,1,3,1968.0,1,1,270,3,3,3,406,90,0,0,0,0,0,3,5,2010,Normal,154000,0,0,0,2,1.5
26,110.0,14230,Corner,24,8,5,2007,2007,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4,3,NoExposure,1,1566,5,1600,3,1,4,7,6,1,4,2007.0,2,3,890,3,3,3,0,56,0,0,0,0,0,0,7,2009,Normal,256300,0,0,0,2,1.5
27,60.0,7200,Corner,10,5,7,1951,2000,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,Mn,4,900,3,900,3,1,4,5,6,0,0,2005.0,1,2,576,3,3,3,222,32,0,0,0,0,0,0,5,2010,Normal,134800,0,0,0,2,1.5
28,98.0,11478,Inside,24,8,5,2007,2008,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,NoExposure,6,1704,5,1704,3,1,4,7,6,1,4,2008.0,2,3,772,3,3,3,0,50,0,0,0,0,0,0,5,2010,Normal,306000,0,0,0,3,1.0
29,47.0,16321,CulDSac,10,5,6,1957,1997,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,Gd,4,1484,3,1600,2,1,3,6,6,2,4,1957.0,2,1,319,3,3,3,288,258,0,0,0,0,0,0,12,2006,Normal,207500,0,0,0,2,1.0
30,60.0,6324,Inside,8,4,6,1927,1950,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,NoExposure,1,520,2,520,1,1,2,4,6,0,0,1920.0,1,1,240,2,3,3,49,0,87,0,0,0,0,0,5,2008,Normal,68500,0,0,0,1,1.0
31,50.0,8500,Inside,2,4,4,1920,1950,Other,Other,None,0.0,3,2,BrkTil,3,3,NoExposure,1,649,3,1317,3,1,3,6,6,0,0,1920.0,1,1,250,3,2,1,0,54,172,0,0,0,0,3,7,2008,Normal,40000,0,0,0,1,3.0
32,53.04227235940989,8544,CulDSac,12,5,6,1966,2006,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,NoExposure,1,1228,4,1228,3,1,4,6,6,0,0,1966.0,1,1,271,3,3,3,0,65,0,0,0,0,0,3,6,2008,Normal,149350,0,0,0,2,1.5
33,85.0,11049,Corner,20,8,5,2007,2007,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,Av,1,1234,5,1234,3,1,4,7,6,0,0,2007.0,2,2,484,3,3,3,0,30,0,0,0,0,0,0,1,2008,Normal,179900,0,0,0,2,1.5
34,70.0,10552,Inside,10,5,5,1959,1959,Other,Other,None,0.0,3,3,CBlock,3,3,NoExposure,3,1398,4,1700,4,1,4,6,6,1,4,1959.0,2,2,447,3,3,3,0,38,0,0,0,0,0,0,4,2010,Normal,165500,0,0,0,3,1.3333333333333333
35,60.0,7313,Inside,24,9,5,2005,2005,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5,3,NoExposure,6,1561,5,1561,2,1,5,6,6,1,4,2005.0,3,2,556,3,3,3,203,47,0,0,0,0,0,0,8,2007,Normal,277500,0,0,0,3,0.6666666666666666
36,108.0,13418,Inside,24,8,5,2004,2005,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5,3,Av,1,1117,5,2452,4,1,4,9,6,1,4,2004.0,3,3,691,3,3,3,113,32,0,0,0,0,0,0,9,2006,Normal,309000,0,0,0,4,1.0
37,112.0,10859,Corner,20,5,5,1994,1995,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,NoExposure,1,1097,5,1097,3,1,3,6,6,0,0,1995.0,1,2,672,3,3,3,392,64,0,0,0,0,0,0,6,2009,Normal,145000,0,0,0,2,1.5
38,74.0,8532,Inside,10,5,6,1954,1990,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3,3,NoExposure,3,1297,4,1297,3,1,3,5,6,1,3,1954.0,3,2,498,3,3,3,0,0,0,0,0,0,0,0,10,2009,Normal,153000,0,0,0,2,1.5
39,68.0,7922,Inside,10,5,7,1953,2007,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,NoExposure,6,1057,3,1057,3,1,4,5,6,0,0,1953.0,1,1,246,3,3,3,0,52,0,0,0,0,0,0,1,2010,Abnorml,109000,0,0,0,2,1.5
40,65.0,6040,Inside,6,4,5,1955,1955,Other,Plywood,None,0.0,3,3,PConc,0,0,NoBsmt,0,0,3,1152,2,2,2,6,6,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2008,AdjLand,82000,0,0,0,2,1.0
41,84.0,8658,Inside,10,6,5,1965,1965,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,3,3,NoExposure,3,1088,5,1324,3,1,3,6,6,1,3,1965.0,2,2,440,3,3,3,0,138,0,0,0,0,0,2,12,2006,Abnorml,160000,0,0,0,2,1.5
42,115.0,16905,Inside,21,5,6,1959,1959,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,Gd,4,1350,4,1328,2,1,3,5,6,2,4,1959.0,2,1,308,3,3,2,0,104,0,0,0,0,0,0,7,2007,Normal,170000,0,0,0,3,0.6666666666666666
43,58.547390097138766,9180,CulDSac,13,5,7,1983,1983,HdBoard,HdBoard,None,0.0,3,3,CBlock,4,3,Av,5,840,4,884,2,1,4,5,6,0,0,1983.0,2,2,504,3,4,3,240,0,0,0,0,0,0,3,12,2007,Normal,144000,0,0,0,2,1.0
44,58.69988268082345,9200,CulDSac,20,5,6,1975,1980,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,Av,2,938,3,938,3,1,3,5,6,0,0,1977.0,1,1,308,3,3,3,145,0,0,0,0,0,0,3,7,2008,Normal,130250,0,0,0,2,1.5
45,70.0,7945,Inside,10,5,6,1959,1959,Other,Wd Sdng,None,0.0,3,3,CBlock,3,3,NoExposure,5,1150,5,1150,3,1,3,6,6,0,0,1959.0,2,1,300,3,3,3,0,0,0,0,0,0,0,0,5,2006,Normal,141000,0,0,0,2,1.5
46,61.0,7658,Inside,24,9,5,2005,2005,MetalSd,MetalSd,BrkFace,412.0,5,3,PConc,5,3,NoExposure,6,1752,5,1752,2,1,5,6,6,1,4,2005.0,2,2,576,3,3,3,196,82,0,0,0,0,0,0,2,2010,Normal,319900,0,0,0,3,0.6666666666666666
47,48.0,12822,CulDSac,17,7,5,2003,2003,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,NoExposure,6,1434,5,2149,1,1,4,6,6,1,5,2003.0,2,2,670,3,3,3,168,43,0,0,198,0,0,0,8,2009,Abnorml,239686,0,0,0,3,0.3333333333333333
48,84.0,11096,Inside,22,8,5,2006,2006,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,Av,6,1656,5,1656,3,1,4,7,6,0,0,2006.0,2,3,826,3,3,3,0,146,0,0,0,0,0,0,7,2007,Normal,249700,0,0,0,2,1.5
49,33.0,4456,Inside,3,4,5,1920,2008,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,NoExposure,1,736,4,1452,2,3,3,8,6,0,0,0.0,0,0,0,0,0,1,0,0,102,0,0,0,0,0,6,2009,Partial,113000,0,0,0,2,1.0
50,66.0,7742,Inside,12,5,7,1966,1966,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,NoExposure,4,955,5,955,3,1,3,6,6,0,0,1966.0,1,1,386,3,3,3,0,0,0,0,0,0,0,3,1,2007,Normal,127000,0,0,0,2,1.5
51,108.17999438234553,13869,Corner,14,6,6,1997,1997,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,Av,6,794,4,1470,3,1,3,6,6,0,0,1997.0,3,2,388,3,3,3,0,75,0,0,0,0,0,0,7,2007,Normal,177000,0,0,0,3,1.0
52,52.0,6240,Inside,8,6,6,1934,1950,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,NoExposure,1,816,3,1176,3,1,3,6,6,1,4,1985.0,1,2,528,3,3,3,112,0,0,0,0,0,0,3,9,2006,Normal,114500,0,400,0,1,3.0
53,110.0,8472,Corner,2,5,5,1963,1963,Wd Sdng,Wd Sdng,None,0.0,2,3,CBlock,4,3,Gd,2,816,3,816,2,1,3,5,6,0,0,1963.0,1,2,516,3,3,3,106,0,0,0,0,0,0,0,5,2010,Normal,110000,0,0,0,2,1.0
54,68.0,50271,Inside,23,9,5,1981,1987,Other,Other,None,0.0,4,3,CBlock,5,3,Gd,6,1842,4,1842,0,1,4,5,6,1,4,1981.0,3,3,894,3,3,3,857,72,0,0,0,0,0,0,11,2006,Normal,385000,0,0,0,3,0.0
55,60.0,7134,Inside,10,5,5,1955,1955,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,NoExposure,5,384,3,1360,3,1,3,6,6,1,3,1962.0,1,2,572,3,3,3,0,50,0,0,0,0,0,3,2,2007,Normal,130000,0,0,0,1,3.0
56,100.0,10175,Inside,10,6,5,1964,1964,HdBoard,Plywood,BrkFace,272.0,3,3,CBlock,3,3,NoExposure,4,1425,4,1425,3,1,3,7,6,1,4,1964.0,2,2,576,3,3,3,0,0,0,407,0,0,0,0,7,2008,Normal,180500,0,0,0,2,1.5
57,24.0,2645,Inside,22,8,5,1999,2000,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4,3,NoExposure,6,970,5,1739,3,1,4,7,6,0,0,1999.0,3,2,480,3,3,3,115,0,0,0,0,0,0,0,8,2009,Abnorml,172500,0,0,0,4,0.75
58,89.0,11645,Corner,20,7,5,2004,2004,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,NoExposure,1,860,5,1720,3,1,4,7,6,0,0,2004.0,2,2,565,3,3,3,0,70,0,0,0,0,0,0,8,2006,Normal,196500,0,0,0,3,1.0
59,66.0,13682,CulDSac,25,10,5,2006,2006,VinylSd,VinylSd,BrkFace,1031.0,5,3,PConc,5,3,Gd,1,1410,5,2945,3,1,4,10,6,1,4,2006.0,3,3,641,3,3,3,192,0,37,0,0,0,0,0,10,2006,Partial,438780,0,0,0,4,0.75
60,60.0,7200,Inside,20,5,7,1972,1972,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,Av,5,780,5,780,2,1,3,4,6,0,0,1973.0,1,1,352,3,3,3,196,0,0,0,0,0,0,3,1,2008,Normal,124900,0,0,0,1,2.0
61,63.0,13072,Inside,13,6,5,2004,2004,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,NoExposure,5,1158,5,1158,3,1,4,5,6,0,0,2006.0,1,2,576,3,3,3,0,50,0,0,0,0,0,0,5,2006,Partial,158000,0,0,0,3,1.0
62,60.0,7200,Inside,2,5,7,1920,1996,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,2,NoExposure,1,530,3,1111,3,1,2,6,6,0,0,1935.0,1,1,288,3,3,1,0,0,144,0,0,0,0,0,3,2007,Normal,101000,0,0,0,1,3.0
63,44.0,6442,Inside,24,8,5,2006,2006,VinylSd,VinylSd,Stone,178.0,4,3,PConc,4,4,Mn,6,1370,5,1370,2,1,4,6,6,1,4,2006.0,2,2,484,3,3,3,120,49,0,0,0,0,0,0,10,2007,Normal,202500,0,0,0,2,1.0
64,50.0,10300,Inside,3,7,6,1921,1950,Other,Other,None,0.0,3,3,BrkTil,3,3,NoExposure,1,576,4,1710,3,1,3,9,6,0,0,1990.0,1,2,480,3,3,3,12,11,64,0,0,0,0,4,4,2010,Normal,140000,0,0,0,2,1.5
65,75.0,9375,Inside,20,7,5,1997,1998,VinylSd,VinylSd,BrkFace,573.0,3,3,PConc,4,3,NoExposure,6,1057,5,2034,3,1,4,8,6,0,0,1998.0,2,2,645,3,3,3,576,36,0,0,0,0,0,4,2,2009,Normal,219500,0,0,0,4,0.75
66,76.0,9591,Inside,24,8,5,2004,2005,VinylSd,VinylSd,BrkFace,344.0,4,3,PConc,5,3,Av,1,1143,5,2473,4,1,4,9,6,1,4,2004.0,2,3,852,3,3,3,192,151,0,0,0,0,0,0,10,2007,Normal,317000,0,0,0,3,1.3333333333333333
67,90.74104263107346,19900,Inside,10,7,5,1970,1989,Plywood,Plywood,BrkFace,287.0,3,3,CBlock,4,3,Gd,6,1947,3,2207,3,1,3,7,6,1,4,1970.0,2,2,576,3,3,3,301,0,0,0,0,0,0,0,7,2010,Normal,180000,0,0,0,3,1.0
68,72.0,10665,Inside,20,7,5,2003,2003,VinylSd,VinylSd,BrkFace,167.0,4,3,PConc,4,3,Av,6,1453,5,1479,3,1,4,7,6,0,0,2003.0,2,2,558,3,3,3,144,29,0,0,0,0,0,0,6,2007,Normal,226000,0,0,0,3,1.0
69,47.0,4608,Corner,3,4,6,1945,1950,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,NoExposure,1,747,3,747,2,1,3,4,6,0,0,1945.0,1,1,220,3,3,3,0,0,0,0,0,0,0,0,6,2010,Normal,80000,0,0,0,1,2.0
70,81.0,15593,Corner,16,7,4,1953,1953,Other,Other,None,0.0,4,3,CBlock,3,3,NoExposure,4,1304,3,2287,3,1,3,7,6,1,3,1953.0,3,2,667,3,3,3,0,21,114,0,0,0,0,0,7,2006,Normal,225000,0,0,0,2,1.5
71,95.0,13651,Inside,10,7,6,1973,1973,Plywood,Plywood,BrkFace,1115.0,3,4,CBlock,4,3,Gd,5,2223,5,2223,3,1,3,8,6,2,4,1973.0,3,2,516,3,3,3,300,0,0,0,0,0,0,0,2,2007,Normal,244000,0,0,0,3,1.0
72,69.0,7599,Corner,17,4,6,1982,2006,HdBoard,Plywood,None,0.0,3,3,CBlock,3,3,NoExposure,5,845,3,845,2,1,3,4,6,0,0,1987.0,1,2,360,3,3,3,0,0,0,0,0,0,0,0,6,2007,Normal,129500,0,0,0,2,1.0
73,74.0,10141,Corner,14,7,5,1998,1998,VinylSd,VinylSd,BrkFace,40.0,3,3,PConc,4,3,NoExposure,1,832,4,1718,3,1,3,7,6,1,3,1998.0,3,2,427,3,3,3,0,94,0,0,291,0,0,0,12,2009,Normal,185000,0,0,0,3,1.0
74,85.0,10200,Inside,10,5,7,1954,2003,Wd Sdng,Wd Sdng,BrkFace,104.0,3,3,CBlock,3,3,NoExposure,5,1086,4,1086,3,1,3,6,6,0,0,1989.0,1,2,490,3,3,3,0,0,0,0,0,0,0,2,5,2010,Normal,144900,0,0,0,2,1.5
75,60.0,5790,Corner,3,3,6,1915,1950,VinylSd,VinylSd,None,0.0,4,4,CBlock,2,3,NoExposure,1,840,4,1605,3,2,3,8,6,0,0,1915.0,1,1,379,3,3,3,0,0,202,0,0,0,0,0,5,2010,Normal,107400,0,0,0,2,1.5
76,21.0,1596,Inside,7,4,5,1973,1973,Other,CmentBd,None,0.0,3,3,CBlock,4,3,Gd,6,462,3,988,2,1,3,5,6,0,0,1973.0,1,1,297,3,3,3,120,101,0,0,0,0,0,2,11,2009,Normal,91000,0,0,0,2,1.0
77,68.10608890121615,8475,Inside,10,4,7,1956,1956,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,NoExposure,5,952,5,952,2,1,3,4,6,0,0,1956.0,1,1,283,3,3,3,0,0,0,0,0,0,0,0,4,2008,Normal,135750,0,0,0,1,2.0
78,50.0,8635,Inside,8,5,5,1948,2001,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,NoExposure,4,672,3,1285,2,1,3,6,6,0,0,1948.0,1,1,240,3,3,3,0,0,0,0,0,0,0,3,1,2008,Normal,127000,0,0,0,2,1.0
79,72.0,10778,Inside,12,4,5,1968,1968,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,NoExposure,1,1768,3,1768,4,2,3,8,6,0,0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,2010,Normal,136500,0,0,0,2,2.0
80,60.0,10440,Corner,3,5,6,1910,1981,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,NoExposure,1,440,4,1230,2,1,3,5,6,0,0,1966.0,1,2,440,3,3,3,74,0,128,0,0,0,0,3,5,2009,Normal,110000,0,0,0,2,1.0
81,100.0,13000,Corner,10,6,6,1968,1968,VinylSd,VinylSd,BrkFace,576.0,3,4,CBlock,4,3,NoExposure,3,896,3,2142,4,1,4,8,6,1,4,1968.0,3,1,509,3,3,3,0,72,0,0,252,0,0,0,6,2009,Normal,193500,0,0,0,3,1.3333333333333333
82,32.0,4500,FR2,17,6,5,1998,1998,VinylSd,VinylSd,BrkFace,443.0,3,4,PConc,5,4,NoExposure,6,1237,5,1337,2,1,3,5,6,0,0,1998.0,3,2,405,3,3,3,0,199,0,0,0,0,0,0,3,2006,Normal,153500,0,0,0,3,0.6666666666666666
83,78.0,10206,Inside,22,8,5,2007,2007,VinylSd,VinylSd,Stone,468.0,3,3,PConc,4,3,NoExposure,6,1563,5,1563,3,1,4,6,6,1,4,2007.0,2,3,758,3,3,3,144,99,0,0,0,0,0,0,10,2008,Normal,245000,0,0,0,2,1.5
84,80.0,8892,Inside,10,5,5,1960,1960,MetalSd,MetalSd,BrkCmn,66.0,3,3,CBlock,3,3,NoExposure,1,1065,4,1065,3,1,3,6,6,0,0,1974.0,1,2,461,3,3,3,74,0,0,0,0,0,0,0,7,2007,Normal,126500,0,0,0,2,1.5
85,65.69577870131585,8530,Inside,14,7,5,1995,1996,HdBoard,HdBoard,BrkFace,22.0,3,3,PConc,4,3,NoExposure,1,384,4,1474,3,1,3,7,6,1,3,1995.0,3,2,400,3,3,3,120,72,0,0,0,0,0,0,5,2009,Normal,168500,0,700,0,3,1.0
86,121.0,16059,Corner,18,8,5,1991,1992,HdBoard,HdBoard,BrkFace,284.0,4,3,CBlock,4,3,NoExposure,1,1288,5,2417,4,1,4,9,6,1,3,1991.0,1,2,462,3,3,3,127,82,0,0,0,0,0,0,4,2006,Normal,260000,0,0,0,3,1.3333333333333333
87,122.0,11911,Inside,14,6,5,2005,2005,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,Av,1,684,5,1560,3,1,4,6,6,1,4,2005.0,3,2,400,3,3,3,100,38,0,0,0,0,0,0,3,2009,Normal,174000,0,0,0,3,1.0
88,40.0,3951,Corner,22,6,5,2009,2009,VinylSd,VinylSd,Stone,76.0,4,3,PConc,4,3,Av,1,612,5,1224,2,1,4,4,6,0,0,2009.0,2,2,528,3,3,3,0,234,0,0,0,0,0,0,6,2009,Partial,164500,0,0,0,3,0.6666666666666666
89,105.0,8470,Corner,2,3,2,1915,1982,Plywood,Plywood,None,0.0,2,2,CBlock,3,2,NoExposure,1,1013,3,1526,2,1,2,6,6,0,0,0.0,0,0,0,0,0,1,0,0,156,0,0,0,0,3,10,2009,Abnorml,85000,0,0,0,1,2.0
90,60.0,8070,Inside,20,4,5,1994,1995,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,NoExposure,6,990,5,990,3,1,3,5,6,0,0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,2007,Normal,123600,0,0,0,2,1.5
91,60.0,7200,Inside,10,4,5,1950,1950,Other,Wd Sdng,None,0.0,3,3,Other,0,0,NoBsmt,0,0,3,1040,2,1,3,4,6,0,0,1950.0,1,2,420,3,3,3,0,29,0,0,0,0,0,0,7,2006,Normal,109900,0,0,0,1,2.0
92,85.0,8500,Inside,10,5,3,1961,1961,HdBoard,HdBoard,BrkCmn,203.0,3,3,CBlock,3,3,NoExposure,3,1235,3,1235,2,1,3,6,6,0,0,1961.0,1,2,480,3,3,3,0,0,0,0,0,0,0,2,12,2006,Abnorml,98600,0,0,0,1,2.0
