Id,LotFrontage,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtFinType1,TotalBsmtSF,HeatingQC,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MoSold,YrSold,SalePrice,Gar2,Shed,TenC,TotalBath,Bedroom/Bathroom,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Exterior1st_MetalSd,Exterior1st_Other,Exterior1st_Plywood,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior2nd_HdBoard,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Foundation_CBlock,Foundation_Other,Foundation_PConc,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_NoBsmt,BsmtExposure_NoExposure
13,80.18835765335184,12968,12,5,6,1962,1962,0.0,3,3,3,3,5,912,3,912,2,1,3,4,6,0,0,1962.0,1,1,352,3,3,3,140,0,0,0,176,0,0,0,9,2008,144000,0,0,0,2,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
14,91.0,10652,20,7,5,2006,2007,306.0,4,3,4,3,1,1494,5,1494,3,1,4,7,6,1,4,2006.0,2,3,840,3,3,3,160,33,0,0,0,0,0,0,8,2007,279500,0,0,0,2,1.5,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
15,91.57774091566962,10920,10,6,5,1960,1960,212.0,3,3,3,3,4,1253,3,1253,2,1,3,5,6,1,2,1960.0,2,1,352,3,3,3,0,213,176,0,0,0,0,2,5,2008,157000,0,0,0,3,0.6666666666666666,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
16,51.0,6120,8,7,8,1929,2001,0.0,3,3,3,3,1,832,5,854,2,1,3,5,6,0,0,1991.0,1,2,576,3,3,3,48,112,0,0,0,0,0,4,7,2007,132000,0,0,0,1,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
17,58.88907071293917,11241,10,6,7,1970,1970,180.0,3,3,3,3,5,1004,5,1004,2,1,3,5,6,1,3,1970.0,3,2,480,3,3,3,0,0,0,0,0,0,0,0,3,2010,149000,0,700,0,2,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
18,72.0,10791,12,4,5,1967,1967,0.0,3,3,0,0,0,0,3,1296,2,2,3,6,6,0,0,1967.0,1,2,516,3,3,3,0,0,0,0,0,0,0,0,10,2006,90000,0,500,0,2,1.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
19,66.0,13695,13,5,5,2004,2004,0.0,3,3,3,3,6,1114,5,1114,3,1,4,6,6,0,0,2004.0,1,2,576,3,3,3,0,102,0,0,0,0,0,0,6,2008,159000,0,0,0,3,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
20,70.0,7560,10,5,6,1958,1965,0.0,3,3,3,3,2,1029,3,1339,3,1,3,6,6,0,0,1958.0,1,1,294,3,3,3,0,0,0,0,0,0,0,3,5,2009,139000,0,0,0,1,3.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
21,101.0,14215,24,8,5,2005,2006,380.0,4,3,5,3,1,1158,5,2376,4,1,4,9,6,1,4,2005.0,2,3,853,3,3,3,240,154,0,0,0,0,0,0,11,2006,325300,0,0,0,4,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
22,57.0,7449,2,7,7,1930,1950,0.0,3,3,3,3,1,637,5,1108,3,1,4,6,6,1,4,1930.0,1,1,280,3,3,1,0,0,205,0,0,0,0,4,6,2007,139400,0,0,0,1,3.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
23,75.0,9742,20,8,5,2002,2002,281.0,4,3,4,3,1,1777,5,1795,3,1,4,7,6,1,4,2002.0,2,2,534,3,3,3,171,159,0,0,0,0,0,0,9,2008,230000,0,0,0,2,1.5,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
24,44.0,4224,7,5,7,1976,1976,0.0,3,3,4,3,6,1040,3,1060,3,1,3,6,6,1,3,1976.0,1,2,572,3,3,3,100,110,0,0,0,0,0,0,6,2007,129900,0,0,0,2,1.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
25,55.40049334317037,8246,12,5,8,1968,2001,0.0,3,4,3,3,3,1060,5,1060,3,1,4,6,6,1,3,1968.0,1,1,270,3,3,3,406,90,0,0,0,0,0,3,5,2010,154000,0,0,0,2,1.5,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
26,110.0,14230,24,8,5,2007,2007,640.0,4,3,4,3,1,1566,5,1600,3,1,4,7,6,1,4,2007.0,2,3,890,3,3,3,0,56,0,0,0,0,0,0,7,2009,256300,0,0,0,2,1.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
27,60.0,7200,10,5,7,1951,2000,0.0,3,3,3,3,4,900,3,900,3,1,4,5,6,0,0,2005.0,1,2,576,3,3,3,222,32,0,0,0,0,0,0,5,2010,134800,0,0,0,2,1.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
28,98.0,11478,24,8,5,2007,2008,200.0,4,3,5,3,6,1704,5,1704,3,1,4,7,6,1,4,2008.0,2,3,772,3,3,3,0,50,0,0,0,0,0,0,5,2010,306000,0,0,0,3,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
29,47.0,16321,10,5,6,1957,1997,0.0,3,3,3,3,4,1484,3,1600,2,1,3,6,6,2,4,1957.0,2,1,319,3,3,3,288,258,0,0,0,0,0,0,12,2006,207500,0,0,0,2,1.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
30,60.0,6324,8,4,6,1927,1950,0.0,3,3,3,3,1,520,2,520,1,1,2,4,6,0,0,1920.0,1,1,240,2,3,3,49,0,87,0,0,0,0,0,5,2008,68500,0,0,0,1,1.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
31,50.0,8500,2,4,4,1920,1950,0.0,3,2,3,3,1,649,3,1317,3,1,3,6,6,0,0,1920.0,1,1,250,3,2,1,0,54,172,0,0,0,0,3,7,2008,40000,0,0,0,1,3.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
32,53.04227235940989,8544,12,5,6,1966,2006,0.0,3,3,3,3,1,1228,4,1228,3,1,4,6,6,0,0,1966.0,1,1,271,3,3,3,0,65,0,0,0,0,0,3,6,2008,149350,0,0,0,2,1.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
33,85.0,11049,20,8,5,2007,2007,0.0,4,3,5,3,1,1234,5,1234,3,1,4,7,6,0,0,2007.0,2,2,484,3,3,3,0,30,0,0,0,0,0,0,1,2008,179900,0,0,0,2,1.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
34,70.0,10552,10,5,5,1959,1959,0.0,3,3,3,3,3,1398,4,1700,4,1,4,6,6,1,4,1959.0,2,2,447,3,3,3,0,38,0,0,0,0,0,0,4,2010,165500,0,0,0,3,1.3333333333333333,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
35,60.0,7313,24,9,5,2005,2005,246.0,5,3,5,3,6,1561,5,1561,2,1,5,6,6,1,4,2005.0,3,2,556,3,3,3,203,47,0,0,0,0,0,0,8,2007,277500,0,0,0,3,0.6666666666666666,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
36,108.0,13418,24,8,5,2004,2005,132.0,4,3,5,3,1,1117,5,2452,4,1,4,9,6,1,4,2004.0,3,3,691,3,3,3,113,32,0,0,0,0,0,0,9,2006,309000,0,0,0,4,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
37,112.0,10859,20,5,5,1994,1995,0.0,3,3,4,3,1,1097,5,1097,3,1,3,6,6,0,0,1995.0,1,2,672,3,3,3,392,64,0,0,0,0,0,0,6,2009,145000,0,0,0,2,1.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
38,74.0,8532,10,5,6,1954,1990,650.0,3,3,3,3,3,1297,4,1297,3,1,3,5,6,1,3,1954.0,3,2,498,3,3,3,0,0,0,0,0,0,0,0,10,2009,153000,0,0,0,2,1.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
39,68.0,7922,10,5,7,1953,2007,0.0,3,4,3,3,6,1057,3,1057,3,1,4,5,6,0,0,1953.0,1,1,246,3,3,3,0,52,0,0,0,0,0,0,1,2010,109000,0,0,0,2,1.5,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
40,65.0,6040,6,4,5,1955,1955,0.0,3,3,0,0,0,0,3,1152,2,2,2,6,6,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2008,82000,0,0,0,2,1.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
41,84.0,8658,10,6,5,1965,1965,101.0,3,3,3,3,3,1088,5,1324,3,1,3,6,6,1,3,1965.0,2,2,440,3,3,3,0,138,0,0,0,0,0,2,12,2006,160000,0,0,0,2,1.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
42,115.0,16905,21,5,6,1959,1959,0.0,3,4,3,3,4,1350,4,1328,2,1,3,5,6,2,4,1959.0,2,1,308,3,3,2,0,104,0,0,0,0,0,0,7,2007,170000,0,0,0,3,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
43,58.547390097138766,9180,13,5,7,1983,1983,0.0,3,3,4,3,5,840,4,884,2,1,4,5,6,0,0,1983.0,2,2,504,3,4,3,240,0,0,0,0,0,0,3,12,2007,144000,0,0,0,2,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
44,58.69988268082345,9200,20,5,6,1975,1980,0.0,3,3,4,3,2,938,3,938,3,1,3,5,6,0,0,1977.0,1,1,308,3,3,3,145,0,0,0,0,0,0,3,7,2008,130250,0,0,0,2,1.5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
45,70.0,7945,10,5,6,1959,1959,0.0,3,3,3,3,5,1150,5,1150,3,1,3,6,6,0,0,1959.0,2,1,300,3,3,3,0,0,0,0,0,0,0,0,5,2006,141000,0,0,0,2,1.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
46,61.0,7658,24,9,5,2005,2005,412.0,5,3,5,3,6,1752,5,1752,2,1,5,6,6,1,4,2005.0,2,2,576,3,3,3,196,82,0,0,0,0,0,0,2,2010,319900,0,0,0,3,0.6666666666666666,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
47,48.0,12822,17,7,5,2003,2003,0.0,4,3,5,3,6,1434,5,2149,1,1,4,6,6,1,5,2003.0,2,2,670,3,3,3,168,43,0,0,198,0,0,0,8,2009,239686,0,0,0,3,0.3333333333333333,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
48,84.0,11096,22,8,5,2006,2006,0.0,4,3,4,3,6,1656,5,1656,3,1,4,7,6,0,0,2006.0,2,3,826,3,3,3,0,146,0,0,0,0,0,0,7,2007,249700,0,0,0,2,1.5,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
49,33.0,4456,3,4,5,1920,2008,0.0,3,3,3,3,1,736,4,1452,2,3,3,8,6,0,0,0.0,0,0,0,0,0,1,0,0,102,0,0,0,0,0,6,2009,113000,0,0,0,2,1.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
50,66.0,7742,12,5,7,1966,1966,0.0,3,3,3,3,4,955,5,955,3,1,3,6,6,0,0,1966.0,1,1,386,3,3,3,0,0,0,0,0,0,0,3,1,2007,127000,0,0,0,2,1.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
51,108.17999438234553,13869,14,6,6,1997,1997,0.0,3,3,4,3,6,794,4,1470,3,1,3,6,6,0,0,1997.0,3,2,388,3,3,3,0,75,0,0,0,0,0,0,7,2007,177000,0,0,0,3,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
52,52.0,6240,8,6,6,1934,1950,0.0,3,3,3,3,1,816,3,1176,3,1,3,6,6,1,4,1985.0,1,2,528,3,3,3,112,0,0,0,0,0,0,3,9,2006,114500,0,400,0,1,3.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
53,110.0,8472,2,5,5,1963,1963,0.0,2,3,4,3,2,816,3,816,2,1,3,5,6,0,0,1963.0,1,2,516,3,3,3,106,0,0,0,0,0,0,0,5,2010,110000,0,0,0,2,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
54,68.0,50271,23,9,5,1981,1987,0.0,4,3,5,3,6,1842,4,1842,0,1,4,5,6,1,4,1981.0,3,3,894,3,3,3,857,72,0,0,0,0,0,0,11,2006,385000,0,0,0,3,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
55,60.0,7134,10,5,5,1955,1955,0.0,3,3,3,3,5,384,3,1360,3,1,3,6,6,1,3,1962.0,1,2,572,3,3,3,0,50,0,0,0,0,0,3,2,2007,130000,0,0,0,1,3.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
56,100.0,10175,10,6,5,1964,1964,272.0,3,3,3,3,4,1425,4,1425,3,1,3,7,6,1,4,1964.0,2,2,576,3,3,3,0,0,0,407,0,0,0,0,7,2008,180500,0,0,0,2,1.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
57,24.0,2645,22,8,5,1999,2000,456.0,4,3,4,3,6,970,5,1739,3,1,4,7,6,0,0,1999.0,3,2,480,3,3,3,115,0,0,0,0,0,0,0,8,2009,172500,0,0,0,4,0.75,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
58,89.0,11645,20,7,5,2004,2004,0.0,4,3,4,3,1,860,5,1720,3,1,4,7,6,0,0,2004.0,2,2,565,3,3,3,0,70,0,0,0,0,0,0,8,2006,196500,0,0,0,3,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
59,66.0,13682,25,10,5,2006,2006,1031.0,5,3,5,3,1,1410,5,2945,3,1,4,10,6,1,4,2006.0,3,3,641,3,3,3,192,0,37,0,0,0,0,0,10,2006,438780,0,0,0,4,0.75,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
60,60.0,7200,20,5,7,1972,1972,0.0,3,3,3,3,5,780,5,780,2,1,3,4,6,0,0,1973.0,1,1,352,3,3,3,196,0,0,0,0,0,0,3,1,2008,124900,0,0,0,1,2.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
61,63.0,13072,13,6,5,2004,2004,0.0,3,3,4,3,5,1158,5,1158,3,1,4,5,6,0,0,2006.0,1,2,576,3,3,3,0,50,0,0,0,0,0,0,5,2006,158000,0,0,0,3,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
62,60.0,7200,2,5,7,1920,1996,0.0,3,3,3,2,1,530,3,1111,3,1,2,6,6,0,0,1935.0,1,1,288,3,3,1,0,0,144,0,0,0,0,0,3,2007,101000,0,0,0,1,3.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
63,44.0,6442,24,8,5,2006,2006,178.0,4,3,4,4,6,1370,5,1370,2,1,4,6,6,1,4,2006.0,2,2,484,3,3,3,120,49,0,0,0,0,0,0,10,2007,202500,0,0,0,2,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
64,50.0,10300,3,7,6,1921,1950,0.0,3,3,3,3,1,576,4,1710,3,1,3,9,6,0,0,1990.0,1,2,480,3,3,3,12,11,64,0,0,0,0,4,4,2010,140000,0,0,0,2,1.5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
65,75.0,9375,20,7,5,1997,1998,573.0,3,3,4,3,6,1057,5,2034,3,1,4,8,6,0,0,1998.0,2,2,645,3,3,3,576,36,0,0,0,0,0,4,2,2009,219500,0,0,0,4,0.75,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
66,76.0,9591,24,8,5,2004,2005,344.0,4,3,5,3,1,1143,5,2473,4,1,4,9,6,1,4,2004.0,2,3,852,3,3,3,192,151,0,0,0,0,0,0,10,2007,317000,0,0,0,3,1.3333333333333333,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
67,90.74104263107346,19900,10,7,5,1970,1989,287.0,3,3,4,3,6,1947,3,2207,3,1,3,7,6,1,4,1970.0,2,2,576,3,3,3,301,0,0,0,0,0,0,0,7,2010,180000,0,0,0,3,1.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
68,72.0,10665,20,7,5,2003,2003,167.0,4,3,4,3,6,1453,5,1479,3,1,4,7,6,0,0,2003.0,2,2,558,3,3,3,144,29,0,0,0,0,0,0,6,2007,226000,0,0,0,3,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
69,47.0,4608,3,4,6,1945,1950,0.0,3,4,3,3,1,747,3,747,2,1,3,4,6,0,0,1945.0,1,1,220,3,3,3,0,0,0,0,0,0,0,0,6,2010,80000,0,0,0,1,2.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
70,81.0,15593,16,7,4,1953,1953,0.0,4,3,3,3,4,1304,3,2287,3,1,3,7,6,1,3,1953.0,3,2,667,3,3,3,0,21,114,0,0,0,0,0,7,2006,225000,0,0,0,2,1.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
71,95.0,13651,10,7,6,1973,1973,1115.0,3,4,4,3,5,2223,5,2223,3,1,3,8,6,2,4,1973.0,3,2,516,3,3,3,300,0,0,0,0,0,0,0,2,2007,244000,0,0,0,3,1.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
72,69.0,7599,17,4,6,1982,2006,0.0,3,3,3,3,5,845,3,845,2,1,3,4,6,0,0,1987.0,1,2,360,3,3,3,0,0,0,0,0,0,0,0,6,2007,129500,0,0,0,2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
73,74.0,10141,14,7,5,1998,1998,40.0,3,3,4,3,1,832,4,1718,3,1,3,7,6,1,3,1998.0,3,2,427,3,3,3,0,94,0,0,291,0,0,0,12,2009,185000,0,0,0,3,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
74,85.0,10200,10,5,7,1954,2003,104.0,3,3,3,3,5,1086,4,1086,3,1,3,6,6,0,0,1989.0,1,2,490,3,3,3,0,0,0,0,0,0,0,2,5,2010,144900,0,0,0,2,1.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
